Start Count: 0
Watching for changes in count...  Use Ctrl-C to Exit.

|Query Number|Sample Number|Epoch (ms)    |Time (s) |Count             |Linear Reg. Rate  |Rate From Previous|Rate From First   |
|        207 |          89 |1558699382890 |    2060 |      208,371,507 |           99,675 |          159,971 |           99,918 |
|        208 |       ***** |1558699392456 |    2070 |      208,371,507 |           99,675 |                0 |           99,456 |
|        209 |       ***** |1558699402477 |    2080 |      208,371,507 |           99,675 |                0 |           98,977 |
|        210 |       ***** |1558699412458 |    2090 |      208,371,507 |           99,675 |                0 |           98,504 |
|        211 |          90 |1558699422494 |    2100 |      209,096,351 |           99,613 |           18,302 |           98,379 |
|        212 |          91 |1558699432490 |    2110 |      212,666,520 |           99,637 |          357,160 |           99,605 |
|        213 |       ***** |1558699442699 |    2120 |      212,666,520 |           99,637 |                0 |           99,125 |
|        214 |          92 |1558699452458 |    2130 |      215,071,588 |           99,673 |          120,446 |           99,800 |
|        215 |       ***** |1558699462458 |    2140 |      215,071,588 |           99,673 |                0 |           99,334 |
|        216 |       ***** |1558699472458 |    2150 |      215,071,588 |           99,673 |                0 |           98,872 |
|        217 |       ***** |1558699482506 |    2160 |      215,071,588 |           99,673 |                0 |           98,412 |
|        218 |          93 |1558699492459 |    2170 |      216,543,698 |           99,630 |           36,802 |           98,639 |
|        219 |          94 |1558699502458 |    2180 |      218,733,869 |           99,625 |          219,039 |           99,191 |
|        220 |          95 |1558699512459 |    2190 |      220,302,878 |           99,637 |          156,885 |           99,454 |
|        221 |          96 |1558699522492 |    2200 |      221,822,174 |           99,663 |          151,430 |           99,691 |
|        222 |       ***** |1558699532459 |    2210 |      221,822,174 |           99,663 |                0 |           99,242 |
|        223 |       ***** |1558699542477 |    2220 |      221,822,174 |           99,663 |                0 |           98,794 |
|        224 |       ***** |1558699552459 |    2230 |      221,822,174 |           99,663 |                0 |           98,352 |
|        225 |          97 |1558699562505 |    2240 |      224,102,829 |           99,640 |           56,998 |           98,929 |
|        226 |          98 |1558699572459 |    2250 |      225,767,432 |           99,637 |          167,230 |           99,231 |
|        227 |          99 |1558699582461 |    2260 |      228,103,518 |           99,669 |          233,562 |           99,826 |
|        228 |         100 |1558699592458 |    2270 |      228,853,099 |           99,693 |           74,981 |           99,716 |
|        229 |       ***** |1558699602497 |    2280 |      228,853,099 |           99,693 |                0 |           99,277 |
|        230 |       ***** |1558699612461 |    2290 |      228,853,099 |           99,693 |                0 |           98,845 |
|        231 |         101 |1558699622460 |    2300 |      229,617,382 |           99,660 |           25,474 |           98,748 |
|        232 |         102 |1558699632459 |    2310 |      231,085,396 |           99,641 |          146,816 |           98,956 |
|        233 |         103 |1558699642470 |    2320 |      232,666,899 |           99,636 |          157,977 |           99,210 |
